Id,Home Ownership,Annual Income,Years in current job,Tax Liens,Number of Open Accounts,Years of Credit History,Maximum Open Credit,Number of Credit Problems,Months since last delinquent,Bankruptcies,Purpose,Term,Current Loan Amount,Current Credit Balance,Monthly Debt,Credit Score,Credit Default
245,Home Mortgage,1119024,10+ years,0,8,21.5,901516,0,,0,debt consolidation,Short Term,99999999,478819,11190,748,0
246,Rent,446025,< 1 year,0,3,30.1,749144,0,31,0,debt consolidation,Short Term,71720,32357,2070,723,0
247,Home Mortgage,1893426,,0,7,52.2,711524,0,,0,debt consolidation,Long Term,429880,500802,41024,654,1
248,Home Mortgage,1539152,7 years,0,12,24.5,657052,0,,0,debt consolidation,Short Term,534644,347852,18341,742,0
249,Home Mortgage,584079,5 years,0,4,22.5,281512,1,,1,debt consolidation,Short Term,112728,38893,8031,736,0
250,Rent,1682545,5 years,0,11,15.4,709082,0,,0,debt consolidation,Short Term,153230,596467,22714,739,0
251,Rent,730835,2 years,0,6,19.4,63184,0,11,0,wedding,Short Term,107976,29089,14465,737,1
252,Rent,699162,8 years,0,6,26.6,200420,1,70,1,debt consolidation,Short Term,174108,84303,2220,711,0
253,Rent,759772,10+ years,0,14,24.5,528242,0,60,0,debt consolidation,Short Term,153956,101270,5736,748,0
254,Home Mortgage,1162572,2 years,2,11,36.5,928598,2,41,0,debt consolidation,Long Term,358974,441085,18601,738,0
255,Home Mortgage,1730349,< 1 year,0,12,17.2,1553596,0,,0,debt consolidation,Long Term,534292,474981,31002,721,1
256,Rent,857660,1 year,0,6,19.7,291082,0,0,,debt consolidation,Short Term,99999999,236816,3488,743,0
257,Home Mortgage,,2 years,0,15,13.6,1556390,0,0,,debt consolidation,Short Term,447480,524210,19613,,0
258,Rent,699181,3 years,0,10,17.9,190190,0,64,0,debt consolidation,Short Term,151118,44194,17596,731,0
259,Rent,1062556,4 years,0,17,19.6,894278,0,,0,debt consolidation,Short Term,335544,402382,19480,703,1
260,Home Mortgage,1636622,7 years,0,10,27.7,988350,0,41,0,home improvements,Short Term,99999999,29013,10147,750,0
261,Home Mortgage,1418768,10+ years,0,11,23.3,1155924,0,35,0,debt consolidation,Short Term,309430,618944,16907,742,0
262,Rent,,2 years,0,12,16.3,653202,0,5,0,debt consolidation,Short Term,304392,200830,26445,,0
263,Home Mortgage,1910678,10+ years,0,13,19.4,351208,0,39,0,buy a car,Short Term,173514,209893,24839,7470,1
264,Own Home,,< 1 year,0,8,20,228712,0,,0,debt consolidation,Short Term,150942,121277,13222,,0
265,Home Mortgage,3542075,10+ years,0,13,26.5,846582,0,,0,debt consolidation,Long Term,421212,628064,60805,731,0
266,Rent,,< 1 year,0,11,12.8,182314,0,40,0,debt consolidation,Short Term,183260,128478,10814,,0
267,Home Mortgage,2104003,4 years,0,5,16.5,130746,0,,0,debt consolidation,Short Term,159456,93822,27527,7430,1
268,Own Home,665532,2 years,0,5,8.3,329054,0,,0,debt consolidation,Short Term,154132,149188,3422,695,1
269,Home Mortgage,2431962,10+ years,0,12,24.6,350856,0,7,0,debt consolidation,Short Term,86636,169385,51679,746,0
270,Own Home,,10+ years,0,11,14,558250,0,,0,debt consolidation,Short Term,129206,24586,930,,0
271,Rent,1319360,2 years,0,10,13.5,858242,0,,0,debt consolidation,Short Term,152768,340955,19241,743,0
272,Home Mortgage,1425855,10+ years,0,8,15,888536,0,14,0,debt consolidation,Short Term,374220,307724,13427,743,0
273,Home Mortgage,,10+ years,0,5,43.9,906774,0,,0,small business,Short Term,230054,232598,5075,,0
274,Rent,954389,10+ years,0,8,12.9,174394,0,19,0,debt consolidation,Short Term,237446,134653,16702,662,1
275,Rent,2889045,10+ years,0,12,16.2,1367806,0,18,0,debt consolidation,Short Term,302148,717041,29613,740,0
276,Home Mortgage,2073261,,0,25,42.1,1584308,0,,0,debt consolidation,Short Term,448712,1082297,46648,734,0
277,Home Mortgage,,3 years,0,8,21.6,887502,0,,0,other,Short Term,152988,270560,11270,,1
278,Rent,1010724,< 1 year,0,13,16.7,151514,0,78,0,debt consolidation,Short Term,156772,127471,16087,687,0
279,Home Mortgage,,9 years,0,7,16.9,434984,0,70,0,debt consolidation,Long Term,510884,323076,16546,,1
280,Home Mortgage,,10+ years,0,17,23.3,1051886,0,,0,home improvements,Short Term,784322,518738,95508,,1
281,Home Mortgage,1726492,10+ years,0,11,18.3,317922,0,,0,debt consolidation,Short Term,193248,261383,48917,724,1
282,Home Mortgage,2150933,6 years,0,6,25.1,198748,0,,0,debt consolidation,Short Term,99999999,95437,7582,744,0
283,Home Mortgage,706268,5 years,0,4,14.3,129096,0,20,0,debt consolidation,Short Term,172172,96881,3102,728,0
284,Home Mortgage,953990,5 years,0,14,32.1,1603382,0,22,0,debt consolidation,Short Term,99999999,844683,16377,710,0
285,Own Home,939170,2 years,0,8,10,356554,0,,0,debt consolidation,Long Term,499136,232180,19331,664,1
286,Rent,1208324,10+ years,1,17,16.9,1875918,1,,0,debt consolidation,Long Term,402512,635075,29302,688,1
287,Rent,1130956,10+ years,0,13,21.6,353980,0,,0,debt consolidation,Short Term,99999999,278502,17153,698,0
288,Home Mortgage,,1 year,0,6,10.4,693726,0,,0,debt consolidation,Short Term,224048,225264,9791,,0
289,Rent,,2 years,0,6,18.7,924132,0,,0,other,Short Term,326898,59071,16116,,0
290,Rent,1434538,3 years,0,7,27.3,541200,0,60,0,debt consolidation,Short Term,336710,295868,17812,742,0
291,Home Mortgage,787949,10+ years,0,7,26,369490,0,,0,debt consolidation,Short Term,117304,217303,15628,744,0
292,Home Mortgage,,10+ years,0,17,21.3,259050,1,26,0,debt consolidation,Short Term,200200,181222,22140,,0
293,Rent,1294850,7 years,0,9,13,163196,0,48,0,debt consolidation,Short Term,220484,127414,19315,729,0
294,Home Mortgage,2033931,7 years,0,6,21.1,0,0,,0,home improvements,Short Term,108042,0,30340,742,0
295,Rent,1292988,10+ years,1,9,17.8,290246,1,58,0,debt consolidation,Short Term,357522,141626,12607,735,0
296,Rent,1532920,1 year,0,9,15,639078,0,76,0,other,Long Term,99999999,256652,12442,702,0
297,Rent,556662,< 1 year,0,10,16,193512,1,49,1,debt consolidation,Short Term,101508,98439,12015,6940,1
298,Home Mortgage,929100,5 years,0,13,22.5,268664,0,,0,debt consolidation,Short Term,262394,88179,23924,746,0
299,Home Mortgage,1235741,10+ years,0,11,30.2,433620,1,,1,debt consolidation,Long Term,642246,307838,23170,643,0
300,Home Mortgage,1589464,2 years,0,10,9.9,430826,0,19,0,debt consolidation,Short Term,202004,175978,6450,741,0
301,Home Mortgage,3017162,4 years,0,12,23.4,3935976,0,,0,debt consolidation,Short Term,631092,836209,31932,750,0
302,Rent,,5 years,0,6,14.8,403216,0,65,0,debt consolidation,Short Term,222794,208943,11596,,0
303,Home Mortgage,855608,10+ years,0,11,18.1,563156,0,,0,debt consolidation,Short Term,218504,285000,21604,749,0
304,Home Mortgage,1551616,10+ years,0,7,16.5,428890,0,,0,other,Short Term,269500,313006,15904,725,1
305,Rent,,< 1 year,0,32,9,96668,0,75,0,other,Short Term,75262,47424,1870,,0
306,Home Mortgage,2260050,10+ years,0,19,23.5,1113068,0,,0,debt consolidation,Short Term,343200,825740,45013,732,0
307,Home Mortgage,3705380,10+ years,0,13,17,1186526,0,19,0,debt consolidation,Short Term,257422,244910,9572,743,0
308,Rent,447659,2 years,0,5,17.5,140624,0,,0,debt consolidation,Short Term,185746,32072,10744,719,1
309,Rent,1245792,3 years,0,5,22.4,0,0,58,0,major purchase,Long Term,338096,0,395,659,0
310,Home Mortgage,1642778,1 year,0,13,21,1359578,0,31,0,debt consolidation,Short Term,783244,549518,20809,739,0
311,Rent,746320,9 years,0,4,25.6,239668,0,38,0,debt consolidation,Short Term,64812,161044,3750,719,1
312,Home Mortgage,1338322,1 year,0,10,16.8,296890,0,,0,other,Short Term,99999999,16150,9123,750,0
313,Rent,1215278,,0,18,15.4,1060752,0,32,0,debt consolidation,Short Term,99999999,239096,16406,730,0
314,Rent,1021288,< 1 year,0,13,19.3,745360,0,44,0,debt consolidation,Short Term,258016,305121,16851,740,1
315,Home Mortgage,861935,8 years,0,11,12.5,391468,0,9,0,other,Long Term,221782,50369,23128,666,1
316,Rent,918707,2 years,0,17,10.2,354574,0,13,0,other,Short Term,382624,912,9187,735,0
317,Home Mortgage,1328670,< 1 year,0,10,17.9,261514,0,,0,debt consolidation,Short Term,99999999,129865,25023,740,0
318,Home Mortgage,559151,10+ years,0,5,17.8,447326,0,,0,debt consolidation,Short Term,89298,84987,1580,742,0
319,Own Home,,< 1 year,0,2,10.5,0,0,,0,business loan,Short Term,76670,0,6432,,0
320,Rent,,5 years,0,9,8.9,314490,0,,0,debt consolidation,Short Term,434060,118427,15838,,0
321,Rent,596163,4 years,0,8,16.8,144254,1,8,1,moving,Short Term,99999999,70262,12668,734,0
322,Rent,674785,3 years,0,6,7.8,345862,0,,0,moving,Short Term,196438,109630,10065,727,0
323,Rent,1251796,5 years,0,12,8.6,294184,0,8,0,debt consolidation,Short Term,178398,105184,28791,723,1
324,Rent,583281,3 years,0,8,4,225082,0,,0,debt consolidation,Short Term,157586,101479,10207,737,0
325,Rent,468312,6 years,0,8,9.9,260172,0,,0,debt consolidation,Short Term,173514,209399,6283,7170,1
326,Own Home,,10+ years,0,19,18.8,303886,0,30,0,home improvements,Long Term,268312,28861,22428,,1
327,Rent,1465337,5 years,0,9,17.7,125642,1,,1,debt consolidation,Short Term,99999999,62168,21248,747,0
328,Rent,719910,2 years,0,10,13.2,567578,0,,0,debt consolidation,Long Term,177144,225473,11651,681,0
329,Rent,1245621,8 years,0,5,13.7,128700,0,,0,debt consolidation,Short Term,221892,89034,1225,692,0
330,Rent,,5 years,0,3,10.7,26070,0,,0,medical bills,Short Term,65186,19950,10772,,0
331,Rent,907098,2 years,0,11,12,314578,2,,2,debt consolidation,Short Term,99999999,8417,14211,738,0
332,Rent,732906,10+ years,0,11,23.5,509124,0,,0,debt consolidation,Long Term,334994,193458,11055,717,0
333,Home Mortgage,960089,4 years,0,12,14.3,453442,1,6,1,debt consolidation,Short Term,99999999,41515,2032,741,0
334,Home Mortgage,2077460,1 year,0,12,17.4,1242296,0,,0,home improvements,Short Term,54670,952717,29950,721,0
335,Own Home,840047,3 years,0,12,21.8,395780,0,40,0,debt consolidation,Short Term,259380,232427,12251,735,0
336,Home Mortgage,,5 years,0,16,22,1506604,0,69,0,debt consolidation,Short Term,142736,230299,14106,,0
337,Home Mortgage,2113826,10+ years,0,11,18,1097360,0,,0,debt consolidation,Short Term,556270,685197,36111,743,0
338,Rent,1716669,3 years,0,24,22.9,1054592,0,39,0,debt consolidation,Short Term,331298,418969,20600,724,1
339,Rent,506483,,0,15,12.3,533698,1,59,1,debt consolidation,Short Term,132506,70984,3900,722,0
340,Rent,673987,2 years,0,24,20.4,908468,1,25,1,debt consolidation,Short Term,220704,400919,18759,7300,1
341,Rent,,< 1 year,0,9,8.9,112684,0,33,0,buy a car,Short Term,135212,84664,14629,,0
342,Home Mortgage,,6 years,0,33,15.5,2369664,0,15,0,debt consolidation,Long Term,482702,648755,15379,,0
343,Rent,482752,1 year,0,6,15.8,364320,0,18,0,debt consolidation,Short Term,186142,147573,5391,716,0
344,Rent,1347613,2 years,0,4,7.7,108394,0,,0,debt consolidation,Short Term,54186,50749,1763,713,0
345,Home Mortgage,1521824,10+ years,0,7,24.4,383416,0,12,0,home improvements,Short Term,176220,226822,14330,736,0
346,Rent,,5 years,0,8,11.9,331848,0,,0,debt consolidation,Long Term,258566,243884,7537,,1
347,Home Mortgage,,10+ years,0,12,18.9,232782,1,,1,debt consolidation,Long Term,296604,127870,19036,,1
348,Rent,892088,10+ years,0,16,17.2,790592,0,42,0,debt consolidation,Short Term,336842,102410,13456,747,1
349,Home Mortgage,867407,6 years,0,13,12,696146,0,77,0,debt consolidation,Short Term,440792,346902,16914,720,0
350,Home Mortgage,,4 years,0,6,24.8,1042712,0,34,0,home improvements,Short Term,220968,14402,816,,0
351,Own Home,2930275,4 years,0,19,18,1201332,0,80,0,other,Long Term,603614,850763,36628,627,0
352,Rent,893665,7 years,0,2,9.5,38764,0,,0,debt consolidation,Short Term,107800,12122,9979,711,0
353,Home Mortgage,1045000,10+ years,0,24,24,1313466,0,60,0,debt consolidation,Short Term,264000,290396,20726,742,0
354,Home Mortgage,2126537,10+ years,0,23,23,14760482,0,,0,debt consolidation,Long Term,778624,1019806,40227,697,0
355,Rent,960184,10+ years,0,9,43.3,301026,0,42,0,debt consolidation,Short Term,87912,86051,3433,7500,1
356,Home Mortgage,,10+ years,0,15,15,581152,1,65,1,debt consolidation,Long Term,227964,235904,15962,,1
357,Home Mortgage,1451619,9 years,0,15,17,953656,1,,1,debt consolidation,Short Term,615208,407683,14274,733,0
358,Rent,1947519,9 years,0,8,13.9,614020,1,63,1,debt consolidation,Long Term,386584,334077,8748,725,0
359,Home Mortgage,,10+ years,0,10,17.5,1749660,0,40,0,debt consolidation,Short Term,788634,991268,42325,,0
360,Rent,3752880,5 years,0,10,16.6,695244,0,,0,educational expenses,Short Term,217272,429305,27959,735,0
361,Home Mortgage,931950,1 year,0,5,29,86372,2,,1,debt consolidation,Short Term,120868,64752,12271,715,0
362,Rent,793174,5 years,0,9,18.2,374154,0,,0,debt consolidation,Long Term,376332,282739,10047,654,1
363,Home Mortgage,1408052,3 years,0,12,20.5,817498,0,,0,debt consolidation,Short Term,99999999,502683,24171,732,0
364,Home Mortgage,,2 years,0,14,23.1,788194,0,,0,home improvements,Short Term,786016,547295,33766,,1
365,Home Mortgage,,10+ years,0,21,32.2,2407086,0,12,0,debt consolidation,Short Term,490006,773338,46165,,0
366,Own Home,500175,10+ years,0,7,5.2,414656,0,,0,debt consolidation,Short Term,99999999,156123,10629,733,0
367,Rent,1076882,2 years,0,6,17.8,25784,0,,0,other,Short Term,77924,6821,11935,743,1
368,Home Mortgage,,,0,7,16.4,1026124,1,,1,debt consolidation,Short Term,509036,458166,10121,,0
369,Rent,4192065,10+ years,0,12,23,543510,0,45,0,other,Short Term,99999999,382090,29659,702,0
370,Rent,559341,1 year,0,6,14.7,397474,1,,1,debt consolidation,Short Term,99999999,179873,5360,743,0
371,Home Mortgage,1271594,10+ years,0,11,18.6,588522,0,,0,debt consolidation,Short Term,140646,282093,6093,747,0
372,Rent,,2 years,0,9,13,475222,1,28,0,other,Short Term,176044,288534,12172,,1
373,Home Mortgage,3235681,10+ years,0,23,24.4,992552,0,,0,debt consolidation,Short Term,547756,490333,50962,689,0
374,Home Mortgage,1594651,10+ years,0,10,14.6,145442,0,64,0,debt consolidation,Short Term,152064,78622,12332,740,0
375,Rent,2045692,2 years,0,16,18.3,348524,1,8,1,debt consolidation,Short Term,99999999,128516,27276,721,0
376,Home Mortgage,,2 years,0,6,9.2,206690,0,,0,debt consolidation,Short Term,269654,168511,8791,,1
377,Home Mortgage,1980237,3 years,0,10,16.5,575476,0,51,0,debt consolidation,Short Term,465674,404054,10578,714,0
378,Home Mortgage,845690,5 years,0,5,8.9,319880,0,40,0,home improvements,Short Term,319880,181507,9937,700,0
379,Rent,1512248,10+ years,0,25,28.9,604384,0,12,0,other,Short Term,437756,280288,21423,692,0
380,Home Mortgage,956840,10+ years,0,10,14.7,518144,0,,0,debt consolidation,Long Term,389444,222414,13555,6790,1
381,Own Home,1890500,2 years,0,5,22,205876,0,,0,debt consolidation,Long Term,262680,160721,11170,689,0
382,Own Home,1278206,8 years,0,8,15.8,688908,0,,0,debt consolidation,Short Term,99999999,428963,16190,743,0
383,Home Mortgage,1402941,2 years,0,16,15.2,646426,0,,0,debt consolidation,Short Term,99999999,480681,22798,724,0
384,Home Mortgage,4333577,10+ years,0,14,39.4,438966,0,17,0,debt consolidation,Long Term,446028,78850,41530,717,0
385,Home Mortgage,,10+ years,0,11,14.5,495132,1,,1,debt consolidation,Short Term,331430,292923,23025,,1
386,Rent,1297624,8 years,1,6,20.6,148852,1,49,0,debt consolidation,Short Term,100012,82023,4033,703,0
387,Home Mortgage,,7 years,0,15,23.1,922790,0,64,0,debt consolidation,Long Term,756646,553090,15721,,0
388,Home Mortgage,1521064,4 years,0,12,13.7,519376,0,20,0,debt consolidation,Short Term,770550,305900,12460,702,0
389,Rent,,10+ years,0,12,20.5,1103542,0,,0,other,Long Term,511874,121999,33683,,0
390,Home Mortgage,1670670,10+ years,0,12,12.5,960564,0,,0,debt consolidation,Short Term,150458,104519,12085,720,0
391,Own Home,2138906,6 years,0,17,30.3,2205148,0,,0,debt consolidation,Long Term,788018,1401668,37075,718,0
392,Home Mortgage,,6 years,0,14,13.5,174130,1,34,0,debt consolidation,Short Term,271876,134292,33597,,0
393,Rent,2415698,2 years,0,8,15.7,520146,0,29,0,debt consolidation,Short Term,437052,431699,32411,747,0
394,Home Mortgage,2196457,< 1 year,0,7,26.5,902748,0,,0,debt consolidation,Short Term,99999999,639312,25754,746,0
395,Rent,,4 years,0,23,12.6,606892,0,38,0,buy house,Short Term,200376,165623,15819,,1
396,Home Mortgage,,10+ years,0,15,17.6,856438,0,67,0,debt consolidation,Short Term,300982,394972,18451,,0
397,Home Mortgage,1205683,8 years,0,13,18.5,110022,0,10,0,home improvements,Long Term,315238,59204,7586,733,0
398,Rent,1127175,10+ years,0,9,13.7,619542,0,23,0,debt consolidation,Short Term,287584,226860,6096,734,0
399,Own Home,604466,3 years,0,3,10.2,258214,0,,0,debt consolidation,Short Term,99999999,161443,11787,741,0
400,Home Mortgage,1419300,7 years,0,7,16.9,177584,0,,0,debt consolidation,Short Term,99999999,137256,15967,738,0
401,Home Mortgage,794903,10+ years,0,13,20,713834,0,,0,debt consolidation,Short Term,99999999,99864,21065,741,0
402,Home Mortgage,1090011,2 years,0,12,16.5,312598,0,31,0,debt consolidation,Long Term,396308,228950,25797,702,1
403,Home Mortgage,1682032,10+ years,0,16,28.8,651332,0,44,0,home improvements,Long Term,354112,169309,20324,726,0
404,Home Mortgage,,6 years,0,10,23.8,1434048,0,,0,debt consolidation,Long Term,662970,616759,31781,,1
405,Home Mortgage,1050415,,0,10,20.7,182292,1,,1,home improvements,Short Term,67562,57779,28099,711,0
406,Home Mortgage,1558171,10+ years,0,6,19.7,672320,0,,0,debt consolidation,Short Term,536976,451744,13764,733,0
407,Rent,,4 years,0,3,13.3,555764,0,26,0,debt consolidation,Long Term,281116,305748,7948,,1
408,Home Mortgage,1473260,10+ years,0,6,39,323466,0,,0,debt consolidation,Short Term,87472,126274,19398,714,0
409,Home Mortgage,952660,8 years,0,5,14.5,573210,0,,0,debt consolidation,Short Term,220616,165338,1675,749,0
410,Rent,775428,9 years,0,9,27.5,424204,1,20,1,debt consolidation,Short Term,203698,200754,7237,714,1
411,Rent,768512,< 1 year,0,6,7.7,240284,0,,0,buy a car,Short Term,55616,63707,9542,727,0
412,Home Mortgage,1547721,6 years,0,15,12.2,1254902,0,,0,debt consolidation,Short Term,349668,637260,30181,744,0
413,Rent,1315123,6 years,0,12,17,129822,0,,0,debt consolidation,Short Term,125400,58083,15343,709,0
414,Rent,1582054,10+ years,0,5,12.1,239734,0,,0,debt consolidation,Short Term,517220,178068,14238,726,0
415,Home Mortgage,,10+ years,0,14,17,1918774,0,,0,debt consolidation,Short Term,127974,961134,30061,,1
416,Rent,993833,2 years,0,11,20.8,241142,0,35,0,debt consolidation,Short Term,88528,38532,2551,696,1
417,Home Mortgage,1739412,1 year,0,13,14,534864,0,17,0,debt consolidation,Short Term,99999999,370006,31744,730,0
418,Home Mortgage,1338455,5 years,0,7,13.6,671264,0,39,0,home improvements,Long Term,344388,389006,25654,670,1
419,Home Mortgage,1453785,7 years,0,9,16.4,1833414,0,,0,debt consolidation,Short Term,336666,617538,8917,750,0
420,Rent,471770,< 1 year,0,6,16.5,673156,0,,0,debt consolidation,Short Term,179168,159866,3849,750,0
421,Home Mortgage,1533452,10+ years,0,13,30.5,1439922,0,57,0,debt consolidation,Short Term,755722,992351,39742,710,0
422,Rent,4667616,3 years,0,4,5.9,472428,0,,0,take a trip,Short Term,112596,152190,5018,740,0
423,Home Mortgage,1277161,,0,32,15.4,392722,0,,0,home improvements,Short Term,259072,31882,10164,750,0
424,Rent,,,0,15,33,1027554,0,,0,home improvements,Short Term,238106,151753,11183,,0
425,Rent,778620,1 year,0,12,9.3,482680,0,,0,debt consolidation,Short Term,293018,233016,11939,746,1
426,Rent,545566,2 years,0,4,23.7,157894,0,31,0,debt consolidation,Short Term,145310,65189,2405,723,0
427,Home Mortgage,3110528,7 years,0,15,18.5,925760,0,30,0,debt consolidation,Long Term,562760,598842,32920,699,0
428,Rent,1146954,10+ years,0,12,11.4,518056,0,86,0,other,Long Term,221342,321689,19976,689,1
429,Rent,1206842,7 years,0,11,14,438438,0,29,0,debt consolidation,Short Term,343970,293075,10560,706,0
430,Home Mortgage,1906916,6 years,0,19,18.1,682396,0,,0,debt consolidation,Long Term,568392,474430,34007,712,0
431,Home Mortgage,659281,10+ years,0,11,17,651772,0,,0,debt consolidation,Short Term,250822,206587,13900,744,0
432,Rent,747688,3 years,0,8,8.5,150546,0,,0,debt consolidation,Short Term,227260,76722,13272,711,1
433,Own Home,966055,3 years,0,15,16.6,604252,0,30,0,debt consolidation,Short Term,230428,215004,18274,748,0
434,Home Mortgage,1282310,5 years,0,21,12.8,489082,0,,0,debt consolidation,Long Term,393030,248786,17739,721,0
435,Rent,1251435,4 years,0,18,18.5,263098,0,23,0,medical bills,Short Term,187264,115653,29409,7170,1
436,Rent,,2 years,0,5,13.1,205436,0,,0,other,Short Term,52690,115330,16531,,0
437,Own Home,1941002,10+ years,0,11,24.9,813846,0,,0,other,Long Term,618772,475836,16013,683,1
438,Own Home,374832,10+ years,0,7,17.9,345158,0,61,0,debt consolidation,Short Term,26048,194047,7903,716,0
439,Rent,744876,1 year,0,5,15,420486,0,61,0,debt consolidation,Long Term,308880,282891,13967,668,0
440,Home Mortgage,,10+ years,0,8,15.4,988988,0,,0,debt consolidation,Long Term,629310,731139,26738,,0
441,Home Mortgage,1504648,7 years,0,17,24.8,1271666,0,25,0,home improvements,Short Term,261338,611724,26708,744,0
442,Rent,996398,5 years,0,12,17.5,794354,0,,0,debt consolidation,Short Term,266244,334096,18101,748,0
443,Home Mortgage,1044696,9 years,0,6,14.7,219978,0,29,0,debt consolidation,Short Term,223234,166611,11230,734,0
444,Home Mortgage,1189818,6 years,0,25,17.2,301818,0,62,0,debt consolidation,Short Term,262416,185858,22111,672,0
445,Own Home,559683,5 years,0,17,14.1,99528,0,47,0,business loan,Short Term,64812,24073,1679,736,0
446,Rent,984542,< 1 year,0,4,18.6,540100,0,,0,debt consolidation,Short Term,258104,420736,19199,737,0
447,Home Mortgage,,10+ years,0,6,12.4,89210,1,,1,home improvements,Short Term,78012,44384,15847,,0
448,Rent,579234,5 years,0,5,13.6,357500,0,,0,debt consolidation,Short Term,254298,198835,4923,671,1
449,Home Mortgage,,< 1 year,0,13,21.4,598378,0,39,0,debt consolidation,Short Term,85844,144704,8748,,0
450,Rent,,1 year,0,17,14.7,522082,0,,0,debt consolidation,Long Term,350900,301207,23992,,1
451,Own Home,687344,,0,10,35.6,506264,0,23,0,debt consolidation,Long Term,99999999,310441,6243,683,0
452,Own Home,1071125,4 years,0,10,35.4,364870,1,,1,debt consolidation,Short Term,225500,92644,7891,7310,1
453,Rent,616892,10+ years,0,6,19.9,415250,0,47,0,debt consolidation,Short Term,273042,222338,6323,716,0
454,Home Mortgage,1912350,5 years,0,13,18.5,1496352,0,,0,other,Short Term,99999999,376067,8669,743,0
455,Home Mortgage,2325372,10+ years,0,12,24.9,669328,0,43,0,debt consolidation,Short Term,206778,182666,28098,749,0
456,Home Mortgage,1112488,,0,20,29.3,2456454,0,,0,debt consolidation,Short Term,644072,782819,26051,734,0
457,Home Mortgage,802712,6 years,0,14,11.4,663080,0,,0,debt consolidation,Short Term,99999999,125419,12709,747,0
458,Rent,3032096,< 1 year,0,8,14.8,972114,0,9,0,debt consolidation,Short Term,526636,565003,41944,743,0
459,Home Mortgage,1296028,10+ years,0,7,13.4,177848,1,,1,debt consolidation,Short Term,155562,78641,5702,713,0
460,Rent,897294,2 years,0,13,33.8,349140,0,,0,debt consolidation,Short Term,386848,235486,20413,741,1
461,Rent,1360780,10+ years,0,16,17.4,775368,0,,0,debt consolidation,Short Term,215842,490181,24381,742,0
462,Rent,1652639,1 year,0,11,15.7,439164,0,14,0,debt consolidation,Short Term,371448,137674,10962,745,0
463,Rent,1077471,6 years,0,11,12,82940,0,75,0,other,Short Term,54714,11533,15803,748,0
464,Rent,1246248,10+ years,0,31,18.4,2366496,0,,0,debt consolidation,Short Term,333014,772559,22744,748,0
465,Rent,625328,1 year,0,11,20.4,239734,1,,1,medical bills,Short Term,121264,11381,688,743,0
466,Rent,,10+ years,0,14,16,682924,1,,1,debt consolidation,Short Term,42526,230014,31178,,0
467,Rent,805980,10+ years,0,14,19.2,606562,0,,0,debt consolidation,Short Term,44440,365655,24381,724,0
468,Rent,2443514,10+ years,0,10,20.5,83380,0,9,0,debt consolidation,Long Term,99999999,65892,43983,694,0
469,Home Mortgage,2049036,8 years,0,6,21.7,56210,0,23,0,buy house,Short Term,99999999,2185,7377,716,0
470,Home Mortgage,1528664,6 years,0,11,22,1370666,0,29,0,debt consolidation,Short Term,331892,548074,23057,747,0
471,Home Mortgage,2395197,10+ years,0,6,16.9,255156,0,64,0,debt consolidation,Long Term,99999999,221673,15449,726,0
472,Own Home,,1 year,0,6,16,237468,0,2,0,debt consolidation,Short Term,88352,817,12973,,0
473,Home Mortgage,1431840,2 years,0,13,11.7,543642,0,35,0,debt consolidation,Short Term,265276,270902,18733,745,0
474,Home Mortgage,749683,5 years,0,11,20.5,243892,0,59,0,moving,Short Term,117612,153976,7953,715,0
475,Rent,579633,< 1 year,0,11,15.8,203808,1,,1,debt consolidation,Short Term,99999999,48051,8260,745,0
476,Home Mortgage,1076768,,0,14,57.7,432124,0,24,0,debt consolidation,Long Term,558360,186219,13818,667,1
477,Home Mortgage,711569,,0,9,13,506748,0,23,0,debt consolidation,Short Term,194172,173299,12749,737,1
478,Rent,1521520,8 years,1,23,18.1,1770076,1,56,0,debt consolidation,Long Term,535678,1096091,48055,653,1
479,Home Mortgage,1166904,8 years,0,14,20.1,603174,0,45,0,debt consolidation,Short Term,225192,431319,10308,710,0
480,Rent,1355745,2 years,0,9,19.8,322718,2,75,2,debt consolidation,Short Term,221100,226309,26211,743,0
481,Rent,,5 years,0,9,16,112926,0,32,0,debt consolidation,Long Term,263692,57722,12055,,1
482,Home Mortgage,1248224,10+ years,0,9,28,286594,0,,0,debt consolidation,Short Term,289058,113848,18307,732,0
483,Rent,934249,9 years,0,11,11.9,177210,0,24,0,debt consolidation,Short Term,216348,46987,28962,672,0
484,Rent,,3 years,0,7,14.5,106040,0,37,0,debt consolidation,Short Term,121506,71535,8546,,1
485,Home Mortgage,761064,6 years,0,10,13.5,200310,0,,0,debt consolidation,Short Term,220308,93765,5346,741,0
486,Home Mortgage,737257,< 1 year,0,6,11.4,37268,0,14,0,debt consolidation,Short Term,120384,8018,4460,722,1
487,Rent,541101,10+ years,0,4,13.5,273196,0,,0,debt consolidation,Short Term,99999999,149340,2083,727,0
488,Rent,,7 years,0,15,22.4,676654,0,,0,debt consolidation,Short Term,348898,295108,18362,,0
489,Home Mortgage,1632879,10+ years,0,11,29.8,837826,0,7,0,debt consolidation,Long Term,730488,631674,26806,651,1
490,Rent,,10+ years,0,12,24.7,591118,0,28,0,home improvements,Long Term,328328,345116,25434,,0
491,Rent,1599838,< 1 year,0,17,12.7,452408,0,17,0,debt consolidation,Short Term,220528,204744,16798,723,0
